g^4,gamma,D(p),error,p
10.0,1.0,0.573568735998653,0.0259743539800338,0.0
10.0,1.0,0.6185879132043219,0.0195691473045275,0.196349540849362
10.0,1.0,0.4873214754663365,0.0160281156260183,0.3926990816987241
10.0,1.0,0.4643282970338221,0.0174538194342878,0.5890486225480862
10.0,1.0,0.3853608373580313,0.0179485388909196,0.7853981633974483
10.0,1.0,0.4033869368680795,0.0152654379191451,0.9817477042468103
10.0,1.0,0.3013432128486377,0.0123892322649077,1.1780972450961724
10.0,1.0,0.2986376163742297,0.0138757945725316,1.3744467859455345
10.0,1.0,0.2496328951456757,0.0129819419543199,1.5707963267948966
10.0,1.0,0.2300199164036712,0.0120090257291275,1.7671458676442586
10.0,1.0,0.2322561847675759,0.0132504544098984,1.9634954084936207
10.0,1.0,0.1999705137606186,0.0104072590109571,2.1598449493429825
10.0,1.0,0.1944160875392095,0.0101858503524598,2.356194490192345
10.0,1.0,0.2042297677076986,0.011549747636501,2.552544031041707
10.0,1.0,0.1990452461029847,0.0112327240480618,2.748893571891069
10.0,1.0,0.1768753077773792,0.0103665765874261,2.945243112740431
10.0,1.0,0.1331728419205632,0.0156382407397724,3.141592653589793
10.0,1.0,0.1638569329295603,0.012504086563423,3.3379421944391554
10.0,1.0,0.1868421263344446,0.0113081924161048,3.5342917352885173
10.0,1.0,0.1831873540824061,0.0112555309499647,3.730641276137879
10.0,1.0,0.1935196208282886,0.010173961930086,3.9269908169872414
10.0,1.0,0.2043655229680364,0.0102725444965425,4.123340357836604
10.0,1.0,0.1983673702524549,0.0106616782234895,4.319689898685965
10.0,1.0,0.2493290843549441,0.0107164329318173,4.516039439535327
10.0,1.0,0.2700443219993182,0.0130657499390804,4.71238898038469
10.0,1.0,0.2606452692069453,0.01423530909753,4.908738521234052
10.0,1.0,0.3258378696946416,0.014674629500955,5.105088062083414
10.0,1.0,0.4229569311995093,0.0179442287201197,5.301437602932776
10.0,1.0,0.4079653437415445,0.0173653676009582,5.497787143782138
10.0,1.0,0.5067610981843778,0.0159006133257905,5.6941366846315
10.0,1.0,0.570218620310252,0.0184839394184726,5.890486225480862
10.0,1.0,0.6013783873050299,0.0203042539874106,6.086835766330224
5.0,1.0,0.7909085525770536,0.0277032433452891,0.0
5.0,1.0,0.7393419715503081,0.0194647943079211,0.196349540849362
5.0,1.0,0.6541836980505432,0.019488927886258,0.3926990816987241
5.0,1.0,0.5734034090418743,0.0208871075950741,0.5890486225480862
5.0,1.0,0.5090336907723364,0.0192872958547653,0.7853981633974483
5.0,1.0,0.4588764762270091,0.0182707526839381,0.9817477042468103
5.0,1.0,0.3915952741173174,0.0147790822775792,1.1780972450961724
5.0,1.0,0.3395954881021983,0.0136815205053208,1.3744467859455345
5.0,1.0,0.2993200069968734,0.0118109879734949,1.5707963267948966
5.0,1.0,0.2227450163919021,0.0130026055200977,1.7671458676442586
5.0,1.0,0.2403366114265786,0.0118750453324564,1.9634954084936207
5.0,1.0,0.2039890662124791,0.0130939201060049,2.1598449493429825
5.0,1.0,0.2193967350781231,0.0128523270342269,2.356194490192345
5.0,1.0,0.186199918354438,0.0109339061417404,2.552544031041707
5.0,1.0,0.1876597480453242,0.0116737238554788,2.748893571891069
5.0,1.0,0.1829980601731692,0.0118912209940844,2.945243112740431
5.0,1.0,0.1745106701553647,0.0164462421043208,3.141592653589793
5.0,1.0,0.1964562695985613,0.0115503702273265,3.3379421944391554
5.0,1.0,0.1999442213897143,0.0105653801267175,3.5342917352885173
5.0,1.0,0.2089193433636313,0.0141003320520748,3.730641276137879
5.0,1.0,0.2072234041943244,0.0113566861666529,3.9269908169872414
5.0,1.0,0.2049422403866539,0.0129287754494831,4.123340357836604
5.0,1.0,0.2459487707656447,0.0134344030215936,4.319689898685965
5.0,1.0,0.295716358721276,0.0127110001458071,4.516039439535327
5.0,1.0,0.3062074980743107,0.0144003217383355,4.71238898038469
5.0,1.0,0.3225284094303148,0.015902785072307,4.908738521234052
5.0,1.0,0.3903305237649303,0.015612513433305,5.105088062083414
5.0,1.0,0.4650522915414054,0.0181931458390352,5.301437602932776
5.0,1.0,0.4723167374212552,0.0197312512483928,5.497787143782138
5.0,1.0,0.5593053552078701,0.018333719617976,5.6941366846315
5.0,1.0,0.6368616439950647,0.0213195223343183,5.890486225480862
5.0,1.0,0.6915471078057339,0.0184158844219299,6.086835766330224
40.0,1.0,0.3216030417321268,0.0161129257208614,0.0
40.0,1.0,0.3065467289466418,0.0142128830050296,0.196349540849362
40.0,1.0,0.313149807531693,0.0124466488051961,0.3926990816987241
40.0,1.0,0.2809472291773379,0.0124281005145889,0.5890486225480862
40.0,1.0,0.2832141387653324,0.0099588107739092,0.7853981633974483
40.0,1.0,0.2809269737420883,0.0110427675277856,0.9817477042468103
40.0,1.0,0.2231277989936164,0.0114792404444091,1.1780972450961724
40.0,1.0,0.2061639627156911,0.0114877734825965,1.3744467859455345
40.0,1.0,0.2052677585542134,0.0105717528529819,1.5707963267948966
40.0,1.0,0.170655853746372,0.0098066830952665,1.7671458676442586
40.0,1.0,0.1772016213386536,0.0082641107683229,1.9634954084936207
40.0,1.0,0.1624804969157062,0.0094598472544306,2.1598449493429825
40.0,1.0,0.147533639936624,0.0083168860101255,2.356194490192345
40.0,1.0,0.1503427980671623,0.0087611200025778,2.552544031041707
40.0,1.0,0.1485734867106986,0.0087016654644713,2.748893571891069
40.0,1.0,0.1434740974691065,0.0085780818041658,2.945243112740431
40.0,1.0,0.1341649633025933,0.0113676518906075,3.141592653589793
40.0,1.0,0.1205045732216788,0.008219639401752,3.3379421944391554
40.0,1.0,0.1492116072023635,0.0095985065254352,3.5342917352885173
40.0,1.0,0.1562487038032976,0.0089006040860502,3.730641276137879
40.0,1.0,0.1441201876769257,0.0090872793627572,3.9269908169872414
40.0,1.0,0.1700206522485989,0.0092239876664677,4.123340357836604
40.0,1.0,0.1557158896187487,0.010779501033408,4.319689898685965
40.0,1.0,0.178529917741446,0.0107436098238948,4.516039439535327
40.0,1.0,0.1933974377043282,0.0095719967484658,4.71238898038469
40.0,1.0,0.2352416346062364,0.011135583473383,4.908738521234052
