g^4,gamma,D(p),error,p
40.0,1.0,0.3340328994016365,0.0438353271134944,0.0
40.0,1.0,0.297142944688239,0.0334180511499987,0.196349540849362
40.0,1.0,0.3117668768909741,0.0317763293218204,0.3926990816987241
40.0,1.0,0.3192592636224418,0.0251746367510483,0.5890486225480862
40.0,1.0,0.2487194065388163,0.0304196882874855,0.7853981633974483
40.0,1.0,0.1886392134794953,0.0309085610626205,0.9817477042468103
40.0,1.0,0.1129075692081724,0.0285853397475884,1.1780972450961724
40.0,1.0,0.0315734796133597,0.0273105230986203,1.3744467859455345
40.0,1.0,-0.0129463807569117,0.0295078062079952,1.5707963267948966
40.0,1.0,-0.0032993574882256,0.0288321688642825,1.7671458676442586
40.0,1.0,-0.073335940509687,0.0282708939004255,1.9634954084936207
40.0,1.0,-0.043144172037397,0.0287453672808127,2.1598449493429825
40.0,1.0,-0.1275379890156081,0.0329152566482865,2.356194490192345
40.0,1.0,-0.191527018641628,0.0292393053770448,2.552544031041707
40.0,1.0,-0.1819997684211345,0.0316334766700607,2.748893571891069
40.0,1.0,-0.1671701333576141,0.0269091133070413,2.945243112740431
40.0,1.0,-0.1353002094379546,0.0334912700053312,3.141592653589793
40.0,1.0,-0.1875714359407093,0.0293515868029627,3.3379421944391554
40.0,1.0,-0.1613605685503507,0.0283470363348498,3.5342917352885173
40.0,1.0,-0.0582662927529876,0.0272828509901354,3.730641276137879
40.0,1.0,-0.1716421521432358,0.0279742843099108,3.9269908169872414
40.0,1.0,-0.0492702725517692,0.0303777108684193,4.123340357836604
40.0,1.0,0.0311156819536875,0.0278353902549232,4.319689898685965
40.0,1.0,0.0361318119839491,0.0281997436034317,4.516039439535327
40.0,1.0,0.0688428901645327,0.0259835092646734,4.71238898038469
40.0,1.0,0.0927000149578666,0.0272162874743617,4.908738521234052
40.0,1.0,0.1441329208554704,0.0288316578654381,5.105088062083414
40.0,1.0,0.1654508162594998,0.0303864832401783,5.301437602932776
40.0,1.0,0.1946092891856536,0.0265203836070075,5.497787143782138
40.0,1.0,0.2407537326199674,0.0248874390096201,5.6941366846315
40.0,1.0,0.2480337778792789,0.0289065289641467,5.890486225480862
40.0,1.0,0.322260789018702,0.0308133180665603,6.086835766330224
20.0,1.0,0.0583836736709605,0.0427379378636521,0.0
20.0,1.0,0.0904156496424848,0.0327859870857436,0.196349540849362
20.0,1.0,0.0672363280593591,0.0293250341331284,0.3926990816987241
20.0,1.0,0.0939781213179627,0.0285880596359901,0.5890486225480862
20.0,1.0,0.0662169662125552,0.0310439992687576,0.7853981633974483
20.0,1.0,0.0891546032288313,0.0284272183215276,0.9817477042468103
20.0,1.0,0.0852371581420054,0.0307672151438813,1.1780972450961724
20.0,1.0,-0.0321973254384942,0.0290952889573526,1.3744467859455345
20.0,1.0,0.0190445739100032,0.0320386496740597,1.5707963267948966
