g^4,gamma,D(p),error,p
10.0,1.0,0.25829888190741207,0.007917397502281551,0.19634954084936207
10.0,1.0,0.2311039486814358,0.007548894544513728,0.39269908169872414
10.0,1.0,0.2100092278451816,0.006079551961135043,0.5890486225480862
10.0,1.0,0.19595259199952395,0.0057313284977004945,0.7853981633974483
10.0,1.0,0.14192695118968984,0.006119391041496834,0.9817477042468103
10.0,1.0,0.12979086213363802,0.005205066710612407,1.1780972450961724
10.0,1.0,0.1148540861594088,0.004862231888331783,1.3744467859455345
10.0,1.0,0.09051178397038041,0.004350829737397473,1.5707963267948966
10.0,1.0,0.09315252832698562,0.004019171088046052,1.7671458676442586
10.0,1.0,0.0783066065169585,0.0038077392108356173,1.9634954084936207
10.0,1.0,0.07731556075352458,0.004092814539658363,2.1598449493429825
10.0,1.0,0.06651831499772155,0.004184445651525059,2.356194490192345
10.0,1.0,0.07011759946259453,0.0034858462048592232,2.552544031041707
10.0,1.0,0.061126878920725616,0.003942704681517315,2.748893571891069
10.0,1.0,0.06570784969272994,0.003124721042000485,2.945243112740431
10.0,1.0,0.06294524758651543,0.005450644432995403,3.141592653589793
10.0,1.0,0.06252332561086855,0.0037508488127108103,3.3379421944391554
10.0,1.0,0.05996473535345745,0.0033763983703842563,3.5342917352885173
10.0,1.0,0.07168466696796556,0.0037909035611708598,3.730641276137879
10.0,1.0,0.07429194866838015,0.0036979477330323965,3.9269908169872414
10.0,1.0,0.07673513186362535,0.00353947987562433,4.123340357836604
10.0,1.0,0.08115816242672226,0.0038009225761501944,4.319689898685965
10.0,1.0,0.09230589018091952,0.0039605816890717896,4.516039439535327
10.0,1.0,0.101783415988934,0.0047169376325101485,4.71238898038469
10.0,1.0,0.11123917787775045,0.004452312605426235,4.908738521234052
10.0,1.0,0.13571609931601653,0.00565437020326948,5.105088062083414
10.0,1.0,0.14986499581912077,0.005220696588586345,5.301437602932776
10.0,1.0,0.17783842316108178,0.006113484055714241,5.497787143782138
10.0,1.0,0.2174206304885235,0.006300617759376724,5.6941366846315
10.0,1.0,0.23178621601539146,0.006681782466828453,5.890486225480862
10.0,1.0,0.26861464393734497,0.007078705361285589,6.086835766330224
